CE_ID,PA,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,race,capital-gain,capital-loss,hours-per-week,Output,Decision
26,0,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Female,Black,12,94,35,-0.030770,NEGATIVE
26,1,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Male,Black,12,94,35,0.343306,POSITIVE
27,0,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Female,Black,17,97,28,-0.010823,NEGATIVE
27,1,97,State-gov,11,9th,2,11th,Prof-specialty,Not-in-family,Male,Black,17,97,28,0.361939,POSITIVE
28,0,95,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Female,Black,12,83,36,0.022754,POSITIVE
28,1,95,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Male,Black,12,83,36,-0.015000,NEGATIVE
29,0,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,17,84,27,-0.040299,NEGATIVE
29,1,96,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,17,84,27,0.283578,POSITIVE
30,0,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Female,Black,12,82,25,-0.045312,NEGATIVE
30,1,95,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Male,Black,12,82,25,0.329722,POSITIVE
31,0,82,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,11,93,24,2.948179,POSITIVE
31,1,82,Self-emp-inc,5,Prof-school,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,11,93,24,-0.055936,NEGATIVE
32,0,85,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Female,Black,12,96,37,1.834166,POSITIVE
32,1,85,Local-gov,10,HS-grad,2,Some-college,Prof-specialty,Not-in-family,Male,Black,12,96,37,-0.176835,NEGATIVE
33,0,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Female,Black,18,98,29,0.213180,POSITIVE
33,1,87,State-gov,13,Prof-school,2,Prof-school,Prof-specialty,Other-relative,Male,Black,18,98,29,-0.071893,NEGATIVE
34,0,84,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Female,Black,12,94,25,-0.008214,NEGATIVE
34,1,84,Federal-gov,7,Assoc-acdm,1,(null),Prof-specialty,Husband,Male,Black,12,94,25,0.335227,POSITIVE
35,0,84,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Female,Black,12,83,26,2.399579,POSITIVE
35,1,84,Local-gov,8,HS-grad,1,Bachelors,Prof-specialty,Husband,Male,Black,12,83,26,-0.002839,NEGATIVE
36,0,91,Self-emp-not-inc,2,5th-6th,4,Separated,Prof-specialty,Own-child,Female,Other,15,91,32,-0.137455,NEGATIVE
36,1,91,Self-emp-not-inc,2,5th-6th,4,Separated,Prof-specialty,Own-child,Male,Other,15,91,32,0.189531,POSITIVE
37,0,90,Private,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Wife,Female,Other,15,89,21,-0.051891,NEGATIVE
37,1,90,Private,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Wife,Male,Other,15,89,21,0.323576,POSITIVE
38,0,97,State-gov,11,Preschool,5,11th,Prof-specialty,Not-in-family,Female,Other,17,85,36,0.712877,POSITIVE
38,1,97,State-gov,11,Preschool,5,11th,Prof-specialty,Not-in-family,Male,Other,17,85,36,-0.809730,NEGATIVE
39,0,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Female,Other,15,90,31,-0.074835,NEGATIVE
39,1,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Male,Other,15,90,31,0.302143,POSITIVE
40,0,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Female,Other,10,90,31,-0.107156,NEGATIVE
40,1,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Male,Other,10,90,31,0.271951,POSITIVE
41,0,90,Private,0,12th,0,Married-civ-spouse,Prof-specialty,Wife,Female,Other,15,89,21,-0.165356,NEGATIVE
41,1,90,Private,0,12th,0,Married-civ-spouse,Prof-specialty,Wife,Male,Other,15,89,21,0.217584,POSITIVE
42,0,90,Private,0,Doctorate,0,Married-civ-spouse,Prof-specialty,Wife,Female,Other,10,89,21,-0.122072,NEGATIVE
42,1,90,Private,0,Doctorate,0,Married-civ-spouse,Prof-specialty,Wife,Male,Other,10,89,21,0.258017,POSITIVE
43,0,92,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Female,Other,16,79,33,-0.109461,NEGATIVE
43,1,92,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Male,Other,16,79,33,0.268606,POSITIVE
44,0,91,Self-emp-not-inc,2,5th-6th,0,Separated,Prof-specialty,Own-child,Female,Other,10,78,32,-0.102199,NEGATIVE
44,1,91,Self-emp-not-inc,2,5th-6th,0,Separated,Prof-specialty,Own-child,Male,Other,10,78,32,0.276580,POSITIVE
45,0,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Female,Other,15,77,21,-0.083267,NEGATIVE
45,1,90,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Male,Other,15,77,21,0.294266,POSITIVE
46,0,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Female,Other,10,77,21,-0.115587,NEGATIVE
46,1,90,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Male,Other,10,77,21,0.264074,POSITIVE
47,0,80,Self-emp-not-inc,2,Masters,4,Separated,Prof-specialty,Own-child,Female,Other,11,80,24,0.240433,POSITIVE
47,1,80,Self-emp-not-inc,2,Masters,4,Separated,Prof-specialty,Own-child,Male,Other,11,80,24,-0.655933,NEGATIVE
48,0,81,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Female,Other,16,92,33,-0.074792,NEGATIVE
48,1,81,Self-emp-inc,4,1st-4th,0,Widowed,Prof-specialty,Own-child,Male,Other,16,92,33,0.271257,POSITIVE
49,0,80,Self-emp-not-inc,2,5th-6th,0,Separated,Prof-specialty,Own-child,Female,Other,10,91,32,-0.100888,NEGATIVE
49,1,80,Self-emp-not-inc,2,5th-6th,0,Separated,Prof-specialty,Own-child,Male,Other,10,91,32,0.277806,POSITIVE
50,0,79,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Female,Other,15,90,21,-0.083482,NEGATIVE
50,1,79,Self-emp-not-inc,1,Masters,0,Divorced,Prof-specialty,Wife,Male,Other,15,90,21,0.294065,POSITIVE
51,0,79,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Female,Other,10,90,21,-0.115803,NEGATIVE
51,1,79,Self-emp-not-inc,1,Doctorate,0,Divorced,Prof-specialty,Wife,Male,Other,10,90,21,0.263873,POSITIVE
52,0,84,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Female,Other,15,83,32,0.286742,POSITIVE
52,1,84,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Male,Other,15,83,32,-0.233128,NEGATIVE
53,0,92,Local-gov,8,9th,5,Bachelors,Prof-specialty,Husband,Female,Other,17,83,36,0.116932,POSITIVE
53,1,92,Local-gov,8,9th,5,Bachelors,Prof-specialty,Husband,Male,Other,17,83,36,-1.347836,NEGATIVE
54,0,94,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Female,Other,18,86,39,0.023073,POSITIVE
54,1,94,State-gov,13,Prof-school,5,Prof-school,Prof-specialty,Other-relative,Male,Other,18,86,39,-1.976161,NEGATIVE
55,0,87,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,Other,18,97,38,0.104661,POSITIVE
55,1,87,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,Other,18,97,38,-1.700835,NEGATIVE
56,0,79,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Female,Other,15,76,31,-0.189820,NEGATIVE
56,1,79,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Male,Other,15,76,31,0.072574,POSITIVE
57,0,90,Private,0,12th,4,Married-civ-spouse,Prof-specialty,Wife,Female,Black,0,89,21,-0.217566,NEGATIVE
57,1,90,Private,0,12th,4,Married-civ-spouse,Prof-specialty,Wife,Male,Black,0,89,21,0.168813,POSITIVE
58,0,93,Self-emp-inc,5,Masters,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,1,80,34,2.991205,POSITIVE
58,1,93,Self-emp-inc,5,Masters,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,1,80,34,-0.021568,NEGATIVE
59,0,96,Local-gov,10,1st-4th,5,Some-college,Prof-specialty,Not-in-family,Female,Black,7,84,27,2.509614,POSITIVE
59,1,96,Local-gov,10,1st-4th,5,Some-college,Prof-specialty,Not-in-family,Male,Black,7,84,27,-0.114447,NEGATIVE
60,0,90,Self-emp-not-inc,1,Masters,4,Divorced,Prof-specialty,Wife,Female,Black,0,77,21,-0.014411,NEGATIVE
60,1,90,Self-emp-not-inc,1,Masters,4,Divorced,Prof-specialty,Wife,Male,Black,0,77,21,0.260503,POSITIVE
61,0,97,State-gov,11,1st-4th,2,11th,Prof-specialty,Not-in-family,Female,Black,8,97,38,-0.170686,NEGATIVE
61,1,97,State-gov,11,1st-4th,2,11th,Prof-specialty,Not-in-family,Male,Black,8,97,38,0.202891,POSITIVE
62,0,95,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Female,Black,2,95,36,-0.059139,NEGATIVE
62,1,95,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Male,Black,2,95,36,0.316805,POSITIVE
63,0,95,Local-gov,8,1st-4th,1,Bachelors,Prof-specialty,Husband,Female,Black,7,95,26,-0.005459,NEGATIVE
63,1,95,Local-gov,8,1st-4th,1,Bachelors,Prof-specialty,Husband,Male,Black,7,95,26,0.366949,POSITIVE
64,0,93,Self-emp-inc,5,10th,1,Married-spouse-absent,Prof-specialty,Husband,Female,Black,1,93,24,-0.034723,NEGATIVE
64,1,93,Self-emp-inc,5,10th,1,Married-spouse-absent,Prof-specialty,Husband,Male,Black,1,93,24,0.339613,POSITIVE
65,0,95,Federal-gov,7,1st-4th,1,(null),Prof-specialty,Husband,Female,Black,2,82,35,-0.089199,NEGATIVE
65,1,95,Federal-gov,7,1st-4th,1,(null),Prof-specialty,Husband,Male,Black,2,82,35,0.249385,POSITIVE
66,0,97,State-gov,11,1st-4th,2,11th,Prof-specialty,Not-in-family,Female,Black,8,85,28,-0.185349,NEGATIVE
66,1,97,State-gov,11,1st-4th,2,11th,Prof-specialty,Not-in-family,Male,Black,8,85,28,0.185027,POSITIVE
67,0,95,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Female,Black,2,83,26,-0.075208,NEGATIVE
67,1,95,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Male,Black,2,83,26,0.301795,POSITIVE
68,0,87,State-gov,13,10th,5,Prof-school,Prof-specialty,Other-relative,Female,Black,3,98,39,2.960008,POSITIVE
68,1,87,State-gov,13,10th,5,Prof-school,Prof-specialty,Other-relative,Male,Black,3,98,39,-0.070358,NEGATIVE
69,0,85,Local-gov,10,1st-4th,5,Some-college,Prof-specialty,Not-in-family,Female,Black,7,96,27,2.979214,POSITIVE
69,1,85,Local-gov,10,1st-4th,5,Some-college,Prof-specialty,Not-in-family,Male,Black,7,96,27,-0.069833,NEGATIVE
70,0,82,Self-emp-inc,5,10th,4,Married-spouse-absent,Prof-specialty,Husband,Female,Black,1,93,24,0.900421,POSITIVE
70,1,82,Self-emp-inc,5,10th,4,Married-spouse-absent,Prof-specialty,Husband,Male,Black,1,93,24,-0.014812,NEGATIVE
71,0,87,State-gov,13,10th,5,Prof-school,Prof-specialty,Other-relative,Female,Black,3,86,29,2.965857,POSITIVE
71,1,87,State-gov,13,10th,5,Prof-school,Prof-specialty,Other-relative,Male,Black,3,86,29,-0.007290,NEGATIVE
72,0,84,Local-gov,8,1st-4th,1,Bachelors,Prof-specialty,Husband,Female,Black,2,95,36,-0.125655,NEGATIVE
72,1,84,Local-gov,8,1st-4th,1,Bachelors,Prof-specialty,Husband,Male,Black,2,95,36,0.076897,POSITIVE
73,0,86,State-gov,11,1st-4th,2,11th,Prof-specialty,Not-in-family,Female,Black,8,97,28,-0.138247,NEGATIVE
73,1,86,State-gov,11,1st-4th,2,11th,Prof-specialty,Not-in-family,Male,Black,8,97,28,0.194813,POSITIVE
74,0,84,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Female,Black,2,95,26,-0.067788,NEGATIVE
74,1,84,Local-gov,8,Doctorate,1,Bachelors,Prof-specialty,Husband,Male,Black,2,95,26,0.308726,POSITIVE
75,0,87,Federal-gov,7,1st-4th,1,(null),Prof-specialty,Husband,Female,Black,2,82,25,-0.152335,NEGATIVE
75,1,87,Federal-gov,7,1st-4th,1,(null),Prof-specialty,Husband,Male,Black,2,82,25,0.191167,POSITIVE
76,0,82,Local-gov,10,1st-4th,2,Some-college,Prof-specialty,Not-in-family,Female,Black,2,84,27,2.853264,POSITIVE
76,1,82,Local-gov,10,1st-4th,2,Some-college,Prof-specialty,Not-in-family,Male,Black,2,84,27,-0.036387,NEGATIVE
77,0,90,Self-emp-not-inc,1,Assoc-acdm,4,Divorced,Prof-specialty,Wife,Female,Black,5,90,31,-0.098452,NEGATIVE
77,1,90,Self-emp-not-inc,1,Assoc-acdm,4,Divorced,Prof-specialty,Wife,Male,Black,5,90,31,0.157321,POSITIVE
78,0,90,Private,0,Assoc-acdm,4,Married-civ-spouse,Prof-specialty,Wife,Female,Black,5,89,21,-0.253662,NEGATIVE
78,1,90,Private,0,Assoc-acdm,4,Married-civ-spouse,Prof-specialty,Wife,Male,Black,5,89,21,0.128380,POSITIVE
79,0,96,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Female,Black,6,84,34,0.200951,POSITIVE
79,1,96,Local-gov,10,Assoc-voc,5,Some-college,Prof-specialty,Not-in-family,Male,Black,6,84,34,-0.975071,NEGATIVE
80,0,90,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,5,89,31,-0.168859,NEGATIVE
80,1,90,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,5,89,31,0.214312,POSITIVE
81,0,90,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,0,89,31,-0.125573,NEGATIVE
81,1,90,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,0,89,31,0.254747,POSITIVE
82,0,90,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,5,89,21,-0.344897,NEGATIVE
82,1,90,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,5,89,21,0.020635,POSITIVE
83,0,90,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,0,89,21,-0.310093,NEGATIVE
83,1,90,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,0,89,21,0.062821,POSITIVE
84,0,90,Self-emp-not-inc,1,11th,0,Divorced,Prof-specialty,Wife,Female,Black,5,77,31,-0.085904,NEGATIVE
84,1,90,Self-emp-not-inc,1,11th,0,Divorced,Prof-specialty,Wife,Male,Black,5,77,31,0.290996,POSITIVE
85,0,90,Self-emp-not-inc,1,Assoc-acdm,0,Divorced,Prof-specialty,Wife,Female,Black,0,77,31,-0.119089,NEGATIVE
85,1,90,Self-emp-not-inc,1,Assoc-acdm,0,Divorced,Prof-specialty,Wife,Male,Black,0,77,31,0.260804,POSITIVE
86,0,90,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,5,76,21,-0.175764,NEGATIVE
86,1,90,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,5,76,21,0.207862,POSITIVE
87,0,90,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,0,76,21,-0.132478,NEGATIVE
87,1,90,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,0,76,21,0.248297,POSITIVE
88,0,79,Self-emp-not-inc,1,11th,4,Divorced,Prof-specialty,Wife,Female,Black,0,78,22,0.362652,POSITIVE
88,1,79,Self-emp-not-inc,1,11th,4,Divorced,Prof-specialty,Wife,Male,Black,0,78,22,-0.794376,NEGATIVE
89,0,79,Self-emp-not-inc,1,11th,0,Divorced,Prof-specialty,Wife,Female,Black,5,90,31,-0.056208,NEGATIVE
89,1,79,Self-emp-not-inc,1,11th,0,Divorced,Prof-specialty,Wife,Male,Black,5,90,31,0.290794,POSITIVE
90,0,79,Self-emp-not-inc,1,Assoc-acdm,0,Divorced,Prof-specialty,Wife,Female,Black,0,90,31,-0.115740,NEGATIVE
90,1,79,Self-emp-not-inc,1,Assoc-acdm,0,Divorced,Prof-specialty,Wife,Male,Black,0,90,31,0.260602,POSITIVE
91,0,79,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,5,89,21,-0.177506,NEGATIVE
91,1,79,Private,0,Some-college,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,5,89,21,0.206235,POSITIVE
92,0,79,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Female,Black,0,89,21,-0.134222,NEGATIVE
92,1,79,Private,0,Assoc-acdm,0,Married-civ-spouse,Prof-specialty,Wife,Male,Black,0,89,21,0.246667,POSITIVE
93,0,84,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Female,Black,5,83,32,0.884171,POSITIVE
93,1,84,Local-gov,8,Assoc-acdm,1,Bachelors,Prof-specialty,Husband,Male,Black,5,83,32,-0.379638,NEGATIVE
94,0,82,Local-gov,10,Preschool,5,Some-college,Prof-specialty,Not-in-family,Female,Other,7,96,37,0.113967,POSITIVE
94,1,82,Local-gov,10,Preschool,5,Some-college,Prof-specialty,Not-in-family,Male,Other,7,96,37,-1.384590,NEGATIVE
95,0,85,Local-gov,10,5th-6th,5,Some-college,Prof-specialty,Not-in-family,Female,Other,6,84,34,0.259804,POSITIVE
95,1,85,Local-gov,10,5th-6th,5,Some-college,Prof-specialty,Not-in-family,Male,Other,6,84,34,-1.505818,NEGATIVE
96,0,79,Private,0,Doctorate,0,Married-civ-spouse,Prof-specialty,Wife,Female,Other,5,76,31,-0.196769,NEGATIVE
96,1,79,Private,0,Doctorate,0,Married-civ-spouse,Prof-specialty,Wife,Male,Other,5,76,31,0.153441,POSITIVE
97,0,87,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Female,Other,8,86,39,0.102948,POSITIVE
97,1,87,State-gov,13,9th,5,Prof-school,Prof-specialty,Other-relative,Male,Other,8,86,39,-2.021721,NEGATIVE
98,0,83,State-gov,13,7th-8th,5,Prof-school,Prof-specialty,Other-relative,Female,Other,3,86,39,0.254744,POSITIVE
98,1,83,State-gov,13,7th-8th,5,Prof-school,Prof-specialty,Other-relative,Male,Other,3,86,39,-1.988161,NEGATIVE
99,0,98,State-gov,13,10th,5,Prof-school,Exec-managerial,Other-relative,Female,Other,18,98,39,-0.142576,NEGATIVE
99,1,98,State-gov,13,10th,5,Prof-school,Exec-managerial,Other-relative,Male,Other,18,98,39,0.238864,POSITIVE
100,0,97,State-gov,11,Preschool,5,11th,Exec-managerial,Not-in-family,Female,Other,13,97,38,-0.076026,NEGATIVE
100,1,97,State-gov,11,Preschool,5,11th,Exec-managerial,Not-in-family,Male,Other,13,97,38,0.301030,POSITIVE
101,0,97,State-gov,11,1st-4th,5,11th,Exec-managerial,Not-in-family,Female,Other,18,97,28,-0.173557,NEGATIVE
101,1,97,State-gov,11,1st-4th,5,11th,Exec-managerial,Not-in-family,Male,Other,18,97,28,0.209923,POSITIVE
102,0,95,Local-gov,8,Doctorate,5,Bachelors,Exec-managerial,Husband,Female,Other,12,95,26,-0.083740,NEGATIVE
102,1,95,Local-gov,8,Doctorate,5,Bachelors,Exec-managerial,Husband,Male,Other,12,95,26,0.293825,POSITIVE
103,0,95,Local-gov,8,1st-4th,5,Bachelors,Exec-managerial,Husband,Female,Other,12,83,36,-0.142526,NEGATIVE
103,1,95,Local-gov,8,1st-4th,5,Bachelors,Exec-managerial,Husband,Male,Other,12,83,36,0.238910,POSITIVE
104,0,98,State-gov,13,10th,5,Prof-school,Exec-managerial,Other-relative,Female,Other,18,86,29,-0.163227,NEGATIVE
104,1,98,State-gov,13,10th,5,Prof-school,Exec-managerial,Other-relative,Male,Other,18,86,29,0.219573,POSITIVE
105,0,97,State-gov,11,Preschool,5,11th,Exec-managerial,Not-in-family,Female,Other,13,85,28,-0.095149,NEGATIVE
